Origin,Destination,Hour (AM/PM),Distance,Avg Duration in Minutes,Avg Duration with Traffic in Minutes
"24.7102105,46.6283024","24.7930073,46.8364015",3 PM,27.5 km,26.0,47.666666666666664
"24.7102105,46.6283024","24.7930073,46.8364015",3 PM,28.7 km,34.0,55.0
"24.7102105,46.6283024","24.7930073,46.8364015",4 PM,27.5 km,26.0,58.5
"24.7102105,46.6283024","24.7930073,46.8364015",4 PM,28.7 km,34.0,62.666666666666664
"24.7102105,46.6283024","24.7930073,46.8364015",5 PM,27.5 km,26.0,60.8
"24.7102105,46.6283024","24.7930073,46.8364015",5 PM,30.7 km,45.0,63.0
"24.7102105,46.6283024","24.7930073,46.8364015",5 PM,36.3 km,37.0,58.0
"24.7102105,46.6283024","24.7930073,46.8364015",5 PM,39.5 km,40.0,66.0
"24.7102105,46.6283024","24.7930073,46.8364015",5 PM,39.8 km,41.0,63.0
"24.7102105,46.6283024","24.7930073,46.8364015",6 AM,27.5 km,26.0,24.833333333333332
"24.7102105,46.6283024","24.7930073,46.8364015",6 PM,27.5 km,26.0,47.888888888888886
"24.7102105,46.6283024","24.7930073,46.8364015",6 PM,37.4 km,35.0,50.0
"24.7102105,46.6283024","24.7930073,46.8364015",7 AM,27.5 km,26.4,29.8
"24.7102105,46.6283024","24.7930073,46.8364015",7 AM,28.6 km,30.0,29.0
"24.7102105,46.6283024","24.7930073,46.8364015",7 PM,27.5 km,28.0,42.0
"24.7102105,46.6283024","24.7930073,46.8364015",7 PM,37.4 km,35.0,45.0
"24.7102105,46.6283024","24.7930073,46.8364015",8 AM,27.5 km,26.0,27.666666666666668
"24.7102105,46.6283024","24.7930073,46.8364015",9 AM,27.5 km,26.0,27.833333333333332
"24.7221189,46.8611355","24.5914692,46.5433147",1 PM,54.6 km,48.0,50.5
"24.7221189,46.8611355","24.5914692,46.5433147",10 AM,42.8 km,46.0,56.0
"24.7221189,46.8611355","24.5914692,46.5433147",10 AM,54.6 km,48.0,56.5
