Origin,Destination,Start Address,End Address,Distance,Duration,Request Time,Duration with Traffic,Hours,Minutes,Duration in min,Traffic Duration in min
"24.7674375,46.6430625","24.5914692,46.5433147","QJ8V+X6 KAFD Metro Station, Al Aqiq, 7239 - حي - 3260، Riyadh 13519, Saudi Arabia","HGRV+JF2, Tuwaiq, Riyadh 13785, Saudi Arabia",30.3 km,27 mins,17:00,45 mins,0,45,27,45
"24.7406772,46.6947625","24.7930073,46.8364015","3832, 6524 طريق الملك عبدالله الفرعي، حي الملك سلمان، الرياض 12462, Saudi Arabia","Al Cheikh Issa Ibn Salman Al Khalifah, Al Maizilah, Riyadh 13235, Saudi Arabia",19.9 km,18 mins,17:00,34 mins,0,34,18,34
"24.7406772,46.6947625","24.7102105,46.6283024","3832, 6524 طريق الملك عبدالله الفرعي، حي الملك سلمان، الرياض 12462, Saudi Arabia","PJ6H+38M, Ash Shaikh Hasan Ibn Abdullah Al Ash Shaikh, King Saud University, Riyadh 12371, Saudi Arabia",15.1 km,15 mins,17:00,27 mins,0,27,15,27
"24.7406772,46.6947625","24.8296182,46.616385","3832, 6524 طريق الملك عبدالله الفرعي، حي الملك سلمان، الرياض 12462, Saudi Arabia","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia",20.4 km,20 mins,17:00,35 mins,0,35,20,35
"24.7406772,46.6947625","24.5601699,46.7762684","3832, 6524 طريق الملك عبدالله الفرعي، حي الملك سلمان، الرياض 12462, Saudi Arabia","7926-7832 Mohammad Rashid Rida, Ad Dar Al Baida, Riyadh 14519, Saudi Arabia",33.5 km,39 mins,17:00,1 hour 4 mins,60,4,39,64
"24.5914692,46.5433147","24.5601699,46.7762684","HGRV+JF2, Tuwaiq, Riyadh 13785, Saudi Arabia","7926-7832 Mohammad Rashid Rida, Ad Dar Al Baida, Riyadh 14519, Saudi Arabia",35.2 km,39 mins,17:00,43 mins,0,43,39,43
"24.5914692,46.5433147","24.8296182,46.616385","HGRV+JF2, Tuwaiq, Riyadh 13785, Saudi Arabia","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia",38.0 km,35 mins,17:00,45 mins,0,45,35,45
"24.5914692,46.5433147","24.7674375,46.6430625","HGRV+JF2, Tuwaiq, Riyadh 13785, Saudi Arabia","QJ8V+X6 KAFD Metro Station, Al Aqiq, 7239 - حي - 3260، Riyadh 13519, Saudi Arabia",29.7 km,30 mins,17:00,38 mins,0,38,30,38
"24.8296182,46.616385","24.961072,46.6987871","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia","XM6W+9XV, King Khalid International Airport, Riyadh 13449, Saudi Arabia",27.1 km,28 mins,17:10,26 mins,0,26,28,26
"24.8296182,46.616385","24.7012889,46.8298925","RJH8+RHR, Al Aarid, Riyadh 13331, Saudi Arabia","3313 طريق الأمير سعد بن عبدالرحمن الأول، 8613, السعادة، الرياض 14255, Saudi Arabia",44.8 km,50 mins,17:10,1 hour 12 mins,60,12,50,72
