Origin,Destination,Hour (AM/PM),Distance,Avg Duration in Minutes,Avg Duration with Traffic in Minutes
"24.7406772,46.6947625","24.5601699,46.7762684",7 PM,33.6 km,38.0,54.0
"24.7406772,46.6947625","24.5601699,46.7762684",7 PM,34.3 km,42.0,57.0
"24.7406772,46.6947625","24.5601699,46.7762684",8 AM,33.6 km,37.0,36.333333333333336
"24.7406772,46.6947625","24.5601699,46.7762684",9 AM,33.6 km,37.0,38.166666666666664
"24.7406772,46.6947625","24.7102105,46.6283024",1 PM,15.1 km,15.0,18.6
"24.7406772,46.6947625","24.7102105,46.6283024",2 PM,15.1 km,15.0,23.75
"24.7406772,46.6947625","24.7102105,46.6283024",3 PM,13.4 km,16.0,26.0
"24.7406772,46.6947625","24.7102105,46.6283024",3 PM,15.1 km,15.0,29.0
"24.7406772,46.6947625","24.7102105,46.6283024",4 PM,15.1 km,15.0,26.0
"24.7406772,46.6947625","24.7102105,46.6283024",5 PM,15.1 km,15.0,26.545454545454547
"24.7406772,46.6947625","24.7102105,46.6283024",6 AM,15.1 km,15.0,14.5
"24.7406772,46.6947625","24.7102105,46.6283024",6 PM,15.1 km,15.0,20.0
"24.7406772,46.6947625","24.7102105,46.6283024",7 AM,13.4 km,17.0,22.75
"24.7406772,46.6947625","24.7102105,46.6283024",7 AM,15.1 km,15.0,21.5
"24.7406772,46.6947625","24.7102105,46.6283024",7 PM,15.1 km,15.0,20.0
"24.7406772,46.6947625","24.7102105,46.6283024",8 AM,13.4 km,16.0,21.0
"24.7406772,46.6947625","24.7102105,46.6283024",8 AM,15.1 km,15.0,21.333333333333332
"24.7406772,46.6947625","24.7102105,46.6283024",9 AM,13.4 km,16.666666666666668,22.0
"24.7406772,46.6947625","24.7102105,46.6283024",9 AM,15.1 km,15.0,23.0
"24.7406772,46.6947625","24.7930073,46.8364015",1 PM,19.9 km,18.0,21.4
"24.7406772,46.6947625","24.7930073,46.8364015",2 PM,19.9 km,18.0,24.5
"24.7406772,46.6947625","24.7930073,46.8364015",3 PM,19.9 km,18.0,25.75
"24.7406772,46.6947625","24.7930073,46.8364015",4 PM,19.8 km,21.0,36.0
"24.7406772,46.6947625","24.7930073,46.8364015",4 PM,19.9 km,18.0,27.666666666666668
"24.7406772,46.6947625","24.7930073,46.8364015",5 PM,19.8 km,21.0,34.333333333333336
"24.7406772,46.6947625","24.7930073,46.8364015",5 PM,19.9 km,18.0,32.625
"24.7406772,46.6947625","24.7930073,46.8364015",6 AM,19.9 km,18.0,18.333333333333332
"24.7406772,46.6947625","24.7930073,46.8364015",6 PM,19.8 km,20.0,30.0
"24.7406772,46.6947625","24.7930073,46.8364015",6 PM,19.9 km,18.0,32.0
"24.7406772,46.6947625","24.7930073,46.8364015",7 AM,19.8 km,20.0,19.0
"24.7406772,46.6947625","24.7930073,46.8364015",7 AM,19.9 km,18.0,19.75
"24.7406772,46.6947625","24.7930073,46.8364015",7 PM,19.8 km,20.0,29.0
"24.7406772,46.6947625","24.7930073,46.8364015",7 PM,19.9 km,18.0,32.0
"24.7406772,46.6947625","24.7930073,46.8364015",8 AM,19.9 km,18.0,17.0
"24.7406772,46.6947625","24.7930073,46.8364015",9 AM,19.9 km,18.0,16.833333333333332
"24.7406772,46.6947625","24.8296182,46.616385",1 PM,20.4 km,20.0,26.6
"24.7406772,46.6947625","24.8296182,46.616385",2 PM,20.4 km,20.0,30.0
"24.7406772,46.6947625","24.8296182,46.616385",2 PM,21.1 km,21.0,29.0
"24.7406772,46.6947625","24.8296182,46.616385",3 PM,20.4 km,20.0,31.5
"24.7406772,46.6947625","24.8296182,46.616385",3 PM,22.9 km,25.0,31.0
"24.7406772,46.6947625","24.8296182,46.616385",4 PM,20.4 km,20.0,34.666666666666664
"24.7406772,46.6947625","24.8296182,46.616385",4 PM,22.9 km,25.0,31.0
"24.7406772,46.6947625","24.8296182,46.616385",5 PM,19.3 km,21.0,37.0
"24.7406772,46.6947625","24.8296182,46.616385",5 PM,20.4 km,20.0,34.125
"24.7406772,46.6947625","24.8296182,46.616385",5 PM,22.9 km,25.0,38.0
"24.7406772,46.6947625","24.8296182,46.616385",6 AM,20.4 km,20.0,20.0
"24.7406772,46.6947625","24.8296182,46.616385",6 PM,19.3 km,21.0,29.0
"24.7406772,46.6947625","24.8296182,46.616385",6 PM,20.4 km,20.0,29.0
"24.7406772,46.6947625","24.8296182,46.616385",6 PM,26.8 km,24.0,32.0
"24.7406772,46.6947625","24.8296182,46.616385",7 AM,20.4 km,20.0,26.0
"24.7406772,46.6947625","24.8296182,46.616385",7 PM,20.4 km,20.0,27.5
"24.7406772,46.6947625","24.8296182,46.616385",8 AM,20.4 km,20.0,22.8
"24.7406772,46.6947625","24.8296182,46.616385",8 AM,21.0 km,22.0,23.0
"24.7406772,46.6947625","24.8296182,46.616385",9 AM,20.4 km,20.0,22.666666666666668
"24.7674375,46.6430625","24.5914692,46.5433147",1 PM,30.5 km,25.0,27.666666666666668
"24.7674375,46.6430625","24.5914692,46.5433147",1 PM,34.2 km,28.0,27.5
"24.7674375,46.6430625","24.5914692,46.5433147",2 PM,30.6 km,27.0,32.5
"24.7674375,46.6430625","24.5914692,46.5433147",2 PM,34.2 km,28.0,37.5
"24.7674375,46.6430625","24.5914692,46.5433147",3 PM,30.4 km,28.0,37.0
"24.7674375,46.6430625","24.5914692,46.5433147",3 PM,30.7 km,27.0,38.0
"24.7674375,46.6430625","24.5914692,46.5433147",3 PM,34.2 km,28.0,40.5
"24.7674375,46.6430625","24.5914692,46.5433147",4 PM,30.3 km,27.0,45.0
"24.7674375,46.6430625","24.5914692,46.5433147",4 PM,30.4 km,28.0,47.0
"24.7674375,46.6430625","24.5914692,46.5433147",4 PM,30.7 km,27.333333333333332,43.666666666666664
"24.7674375,46.6430625","24.5914692,46.5433147",4 PM,32.5 km,29.0,47.0
"24.7674375,46.6430625","24.5914692,46.5433147",5 PM,30.3 km,27.0,48.0
"24.7674375,46.6430625","24.5914692,46.5433147",5 PM,30.4 km,28.333333333333332,49.333333333333336
"24.7674375,46.6430625","24.5914692,46.5433147",5 PM,30.5 km,25.0,53.0
"24.7674375,46.6430625","24.5914692,46.5433147",5 PM,30.7 km,27.0,49.0
"24.7674375,46.6430625","24.5914692,46.5433147",5 PM,32.5 km,29.0,53.0
"24.7674375,46.6430625","24.5914692,46.5433147",5 PM,34.2 km,28.0,55.0
"24.7674375,46.6430625","24.5914692,46.5433147",6 AM,30.5 km,25.0,22.0
"24.7674375,46.6430625","24.5914692,46.5433147",6 PM,30.3 km,27.0,39.0
"24.7674375,46.6430625","24.5914692,46.5433147",6 PM,30.5 km,25.0,46.0
"24.7674375,46.6430625","24.5914692,46.5433147",6 PM,30.6 km,27.0,33.0
"24.7674375,46.6430625","24.5914692,46.5433147",6 PM,30.7 km,27.0,40.2
"24.7674375,46.6430625","24.5914692,46.5433147",6 PM,32.5 km,29.0,38.0
"24.7674375,46.6430625","24.5914692,46.5433147",6 PM,34.2 km,28.0,48.333333333333336
"24.7674375,46.6430625","24.5914692,46.5433147",7 AM,30.5 km,25.0,22.0
"24.7674375,46.6430625","24.5914692,46.5433147",7 PM,32.5 km,29.0,34.0
"24.7674375,46.6430625","24.5914692,46.5433147",7 PM,34.2 km,28.0,36.0
"24.7674375,46.6430625","24.5914692,46.5433147",8 AM,30.5 km,25.0,22.333333333333332
"24.7674375,46.6430625","24.5914692,46.5433147",9 AM,30.5 km,25.0,24.166666666666668
"24.7674375,46.6430625","24.7102105,46.6283024",1 PM,14.4 km,16.0,16.5
"24.7674375,46.6430625","24.7102105,46.6283024",1 PM,18.0 km,17.0,16.0
